model,MASE,RMSSE,WAPE,runout_MAE_days,seeds_won
TSB_0.05_0.05,0.9301065142877616,2.6061252144414517,0.7604837076899744,7.591631089932616,1
TSB_0.1_0.05,0.9313978654618285,2.606498527849207,0.7658820778729496,7.598468926791012,0
TSB_0.05_0.1,0.9321215603631645,2.6174580549656787,0.7637962932171225,8.380875473165439,0
TSB_0.1_0.1,0.9333024957800491,2.6176434774439734,0.7692464471798814,8.430863936097854,0
TSB_0.05_0.15,0.9333575254903251,2.6281770620537603,0.7671742064152075,9.170677063881596,0
TSB_0.05_0.2,0.9343140092489575,2.6389381761064667,0.7704457914523307,9.89908406041187,0
TSB_0.1_0.15,0.9345473141278552,2.6283034743908233,0.772677816697092,9.220705631942291,0
TSB_0.15_0.05,0.9348772526609963,2.6086723660999445,0.7731860210683511,7.776627869173457,0
TSB_0.1_0.2,0.9355985610613268,2.6391148094003976,0.7760480038817302,9.96626578769062,0
TSB_0.05_0.3,0.9362202052468778,2.6619889228209366,0.776594618291257,11.222853095038186,0
TSB_0.15_0.1,0.9365508823184059,2.619946119407535,0.7763297899593339,8.619177157394699,0
TSB_0.1_0.3,0.9376757321226901,2.6625348585913065,0.7822520887597031,11.270356870745253,0
TSB_0.15_0.15,0.9377742604021293,2.630825519489983,0.7797487780175337,9.421163722493784,0
TSB_0.2_0.05,0.9386829738152618,2.611101098042839,0.7806745409690741,7.983760182814738,0
TSB_0.15_0.2,0.9388412597091599,2.6419135699420613,0.7831559196056866,10.118565884047221,1
TSB_0.05_0.4,0.9389214464259064,2.688211938841481,0.7823997940937482,12.211005773944775,0
TSB_0.2_0.1,0.9401351711508293,2.6225243081494867,0.783638026383953,8.835428619664414,0
TSB_0.1_0.4,0.9408204926677755,2.6894034610856483,0.7882623270222333,12.288759800062131,0
TSB_0.15_0.3,0.9411096968086959,2.6660465340772848,0.7895267236852899,11.406253087716037,0
TSB_0.2_0.15,0.9413198722895371,2.6336272925940314,0.7870456045430296,9.592035463254392,0
TSB_0.2_0.2,0.9423778407590682,2.644985653174285,0.7904597977304881,10.282859122686835,0
TSB_0.05_0.5,0.9436019794079115,2.7182890818147474,0.788560163999263,13.056958945549674,1
TSB_0.15_0.4,0.9444588964445018,2.693850598325876,0.7955754180910543,12.418630383716518,0
TSB_0.2_0.3,0.944600811922379,2.6698041399936696,0.7967133569788372,11.545698828838612,0
TSB_0.3_0.05,0.9455088638414085,2.6159845077922403,0.7937457111300428,8.484766235403454,0
TSB_0.1_0.5,0.9459811324041856,2.7202666916252523,0.7945657298209698,13.176433918354258,0
TSB_0.3_0.1,0.9465658444107432,2.6276652837074863,0.796373597520928,9.303033704726623,0
TSB_0.3_0.15,0.9474942384889373,2.6391427718438565,0.799522237110248,9.98458078147004,0
TSB_0.2_0.4,0.9480705128475925,2.6985115136918663,0.802725582013657,12.542591300767379,0
TSB_0.3_0.2,0.9484250485416964,2.6509581621775355,0.8027652892034608,10.652620051171384,0
TSB_0.15_0.5,0.9499105797574097,2.7258275368667397,0.8019469332628688,13.312155789000427,0
TSB_0.3_0.3,0.9503358276653958,2.676968702263492,0.8085476842353363,11.832725673878075,0
TSB_0.4_0.05,0.9513655031147719,2.6208855979781185,0.8047914637608694,9.013953218182301,0
TSB_0.4_0.1,0.9522016102510514,2.6327639412207073,0.8072151252325245,9.763324254996204,0
TSB_0.4_0.15,0.952820657873411,2.6445250506102282,0.8100414750232879,10.425153235020325,0
TSB_0.4_0.2,0.9535047983163987,2.6566964459331,0.8129762549341687,11.04889613944622,0
TSB_0.2_0.5,0.9536026956331833,2.731577189260945,0.8090449801409457,13.450029479236278,0
TSB_0.3_0.4,0.9537199586518272,2.7072850293147126,0.8142443889783846,12.805881873889543,0
TSB_0.4_0.3,0.9552016669897198,2.6836719707912415,0.8185248031466639,12.138438362302907,0
TSB_0.5_0.05,0.9569943405601842,2.625972039126244,0.8153971196730262,9.560918663954178,0
TSB_0.5_0.1,0.9575661602001309,2.6379945449735778,0.8175452023652493,10.259017385326555,0
TSB_0.5_0.15,0.9578870441536927,2.6499676838174704,0.8200443981713463,10.876127089385742,0
TSB_0.4_0.4,0.9582942168759908,2.7153163308016257,0.8238006884087322,13.102319626479932,0
TSB_0.5_0.2,0.9583577665133868,2.6624172435491014,0.8227501882591871,11.474137110722515,0
TSB_0.3_0.5,0.9592742444747634,2.742311860009531,0.8204025721642725,13.683011712644612,0
TSB_0.5_0.3,0.959787039178897,2.6901695724178314,0.8280322804432267,12.4658974571331,0
TSB_0.5_0.4,0.9625650255622001,2.7228825300191395,0.8329689241708431,13.42763248629347,0
TSB_0.4_0.5,0.9636827889887558,2.751965237556086,0.8296257680487668,13.964146471945883,0
TSB_0.5_0.5,0.9677739516255729,2.7608200946949717,0.8384871858762755,14.2792899990889,0
CrostonSBA,0.9847733942226105,2.608723288341518,0.7651740062087707,6.822284966215959,0
SeasonalNaive,1.0933206524673582,3.1466202251850635,0.9837191871065358,11.572792936508208,0
