MASE,RMSSE,WAPE,runout_MAE_days,runout_n,runout_missed,model,fold,seed,cutoff
0.9593295788643453,2.986126005037141,0.7231341987423452,7.759358288770054,187,14,TSB_0.05_0.05,1,42,2025-04-17
0.9476235519758487,2.999097717161055,0.7219656990016297,8.508021390374331,187,21,TSB_0.05_0.1,1,42,2025-04-17
0.9361443397909659,3.006349620211147,0.7219157648608627,9.433155080213904,187,33,TSB_0.05_0.15,1,42,2025-04-17
0.9272112139265372,3.011111236137704,0.7228028841950652,10.20855614973262,187,38,TSB_0.05_0.2,1,42,2025-04-17
0.917522326864297,3.019224700896998,0.7273007422388954,11.20855614973262,187,49,TSB_0.05_0.3,1,42,2025-04-17
0.9140557949963519,3.0282259548172066,0.7328715751021275,12.540106951871659,187,58,TSB_0.05_0.4,1,42,2025-04-17
0.9155132701881127,3.0395346753393397,0.739678677968956,13.475935828877006,187,67,TSB_0.05_0.5,1,42,2025-04-17
0.9514279592390406,2.985253364452785,0.7200085245176372,7.7272727272727275,187,13,TSB_0.1_0.05,1,42,2025-04-17
0.9386319670315149,2.997727021014314,0.71781973677218,8.577540106951872,187,21,TSB_0.1_0.1,1,42,2025-04-17
0.926826536064493,3.0045032509578036,0.7175975148624397,9.411764705882353,187,29,TSB_0.1_0.15,1,42,2025-04-17
0.9178190096289113,3.008774196341949,0.7185813131848501,10.283422459893048,187,35,TSB_0.1_0.2,1,42,2025-04-17
0.9073576196097852,3.0158807115629935,0.7225551441348896,11.342245989304812,187,50,TSB_0.1_0.3,1,42,2025-04-17
0.9040127379101247,3.023663092190208,0.7284397138131702,12.53475935828877,187,62,TSB_0.1_0.4,1,42,2025-04-17
0.9051146628745649,3.0331860561398867,0.7354318422568108,13.545454545454545,187,68,TSB_0.1_0.5,1,42,2025-04-17
0.9497055777749601,2.9865043581182245,0.7219388412446738,7.919786096256685,187,11,TSB_0.15_0.05,1,42,2025-04-17
0.9362043117206348,2.998767720869974,0.7190838208155974,8.775401069518717,187,21,TSB_0.15_0.1,1,42,2025-04-17
0.9239735031059569,3.005391579716431,0.7185278465137794,9.695187165775401,187,30,TSB_0.15_0.15,1,42,2025-04-17
0.9148799920100944,3.0095321076297754,0.7195610387386787,10.433155080213904,187,35,TSB_0.15_0.2,1,42,2025-04-17
0.9040118730741288,3.016372071994722,0.7232159255658517,11.577540106951872,187,49,TSB_0.15_0.3,1,42,2025-04-17
0.9002070254499779,3.023803019070087,0.7287467329817359,12.695187165775401,187,62,TSB_0.15_0.4,1,42,2025-04-17
0.9011653843216056,3.0327963669237614,0.7357803007869321,13.689839572192513,187,71,TSB_0.15_0.5,1,42,2025-04-17
0.9495355689428213,2.987887121684096,0.7250109579706572,8.13903743315508,187,11,TSB_0.2_0.05,1,42,2025-04-17
0.9357540940912252,2.9999930157831693,0.7219596762314908,9.016042780748663,187,21,TSB_0.2_0.1,1,42,2025-04-17
0.9231357613610314,3.0065221776018833,0.7210758722368881,9.871657754010695,187,31,TSB_0.2_0.15,1,42,2025-04-17
0.9138000687355783,3.0105980756606443,0.7218367516749116,10.663101604278076,187,36,TSB_0.2_0.2,1,42,2025-04-17
0.9025386050968892,3.0172988275161954,0.7250331099969769,11.850267379679144,187,50,TSB_0.2_0.3,1,42,2025-04-17
0.8984543445097654,3.0245248943503427,0.7302882839250822,12.866310160427808,187,64,TSB_0.2_0.4,1,42,2025-04-17
0.8988729288180644,3.0332248623183333,0.7369180579361936,13.898395721925134,187,70,TSB_0.2_0.5,1,42,2025-04-17
0.9502316342186806,2.990359159163445,0.7318352076490203,8.684491978609625,187,11,TSB_0.3_0.05,1,42,2025-04-17
0.9358770527682809,3.002198219275269,0.7283722151511743,9.540106951871659,187,22,TSB_0.3_0.1,1,42,2025-04-17
0.9228789802935705,3.0085855105825567,0.727050735745978,10.288770053475936,187,33,TSB_0.3_0.15,1,42,2025-04-17
0.9131888914561225,3.012581791256681,0.7273111850717295,11.032085561497325,187,38,TSB_0.3_0.2,1,42,2025-04-17
0.9017423839924479,3.019088782711569,0.7303259863656943,12.256684491978609,187,54,TSB_0.3_0.3,1,42,2025-04-17
0.8969919667809023,3.025999944116417,0.73488635055266,13.133689839572192,187,64,TSB_0.3_0.4,1,42,2025-04-17
0.8966604964313342,3.034284853008074,0.7408718336793809,14.165775401069519,187,71,TSB_0.3_0.5,1,42,2025-04-17
0.950896835639871,2.992682269132608,0.7381615982950388,9.155080213903743,187,14,TSB_0.4_0.05,1,42,2025-04-17
0.936337330953426,3.0043074890307593,0.7345640181042327,9.973262032085561,187,25,TSB_0.4_0.1,1,42,2025-04-17
0.9232004229975499,3.0105871974616725,0.732913487645139,10.663101604278076,187,36,TSB_0.4_0.15,1,42,2025-04-17
0.9131503916842181,3.014527809166374,0.7326336461116429,11.368983957219251,187,42,TSB_0.4_0.2,1,42,2025-04-17
0.9016550227771825,3.020867111329293,0.7354150771215059,12.53475935828877,187,57,TSB_0.4_0.3,1,42,2025-04-17
0.8964647454420208,3.0274868846022027,0.7394650569661867,13.363636363636363,187,65,TSB_0.4_0.4,1,42,2025-04-17
0.8956040246417533,3.035413941317396,0.7449591292065301,14.422459893048128,187,70,TSB_0.4_0.5,1,42,2025-04-17
0.9519359933155053,2.995077622582495,0.744399539730798,9.51336898395722,187,16,TSB_0.5_0.05,1,42,2025-04-17
0.9374394119390693,3.0065266670839783,0.7408772258045013,10.368983957219251,187,26,TSB_0.5_0.1,1,42,2025-04-17
0.9240218046454595,3.0127170056272603,0.7387210485323846,11.074866310160427,187,38,TSB_0.5_0.15,1,42,2025-04-17
0.9138511246742677,3.0166108825908706,0.7381826828948148,11.748663101604278,187,45,TSB_0.5_0.2,1,42,2025-04-17
0.9023837767354977,3.022787960994276,0.7408807362105478,12.818181818181818,187,61,TSB_0.5_0.3,1,42,2025-04-17
0.896959466092375,3.029120608565611,0.7448772564751813,13.593582887700535,187,66,TSB_0.5_0.4,1,42,2025-04-17
0.895801069088227,3.0367086143641395,0.7501399406301551,14.72192513368984,187,71,TSB_0.5_0.5,1,42,2025-04-17
1.023416380590539,3.01687891363922,0.73092230026472,7.390374331550802,187,6,CrostonSBA,1,42,2025-04-17
0.9995043028941261,3.2246793934578464,0.8492253633604856,12.128342245989305,187,49,SeasonalNaive,1,42,2025-04-17
0.9097697128497824,3.5108541348018143,0.826573279941979,7.209677419354839,186,13,TSB_0.05_0.05,2,42,2025-05-01
0.9101355554260333,3.5232412402852447,0.8359351108683211,8.112903225806452,186,19,TSB_0.05_0.1,2,42,2025-05-01
0.9123956515975559,3.5293843783283676,0.8468486952823495,8.86021505376344,186,27,TSB_0.05_0.15,2,42,2025-05-01
0.9141902017247725,3.5338736162320603,0.8565977219619323,9.39247311827957,186,30,TSB_0.05_0.2,2,42,2025-05-01
0.9160839908841676,3.543339149572516,0.8721207448022611,10.32258064516129,186,39,TSB_0.05_0.3,2,42,2025-05-01
0.9188520916492441,3.5543193282680132,0.8841395717849108,11.198924731182796,186,49,TSB_0.05_0.4,2,42,2025-05-01
0.9241253678749801,3.5663852741801523,0.8945259770953266,12.048387096774194,186,56,TSB_0.05_0.5,2,42,2025-05-01
0.9101001352253997,3.5116297978732933,0.836409493954511,7.112903225806452,186,12,TSB_0.1_0.05,2,42,2025-05-01
0.9098658625729829,3.5229168306666647,0.8461306857672655,8.14516129032258,186,19,TSB_0.1_0.1,2,42,2025-05-01
0.9105337747705019,3.527721986628032,0.8563327029715597,8.887096774193548,186,26,TSB_0.1_0.15,2,42,2025-05-01
0.910707789667406,3.530728215960013,0.8652146324520005,9.440860215053764,186,30,TSB_0.1_0.2,2,42,2025-05-01
0.909479337001422,3.537127904296788,0.8788685382972677,10.268817204301076,186,38,TSB_0.1_0.3,2,42,2025-05-01
0.9098612713764479,3.545284745496606,0.8893510571264038,11.129032258064516,186,48,TSB_0.1_0.4,2,42,2025-05-01
0.9132763109530312,3.554911219105045,0.8984814103900468,11.951612903225806,186,56,TSB_0.1_0.5,2,42,2025-05-01
